ds100,name,lat,lon,elevation_m
ERMA,Raumland-Markhausen,51.033976,8.3682072,409
EBLB,Bad Berleburg,51.0514994,8.3941779,423
TBS,Beimerstetten,48.4822802,9.9768801,590
TURS,Urspring,48.5499847,9.8947884,567
LCBW,Calbe (Saale) West,51.905266,11.7579527,61
LFD,Förderstedt,51.9017071,11.6319083,82
WATR,Altentreptow,53.6913989,13.2427568,32
LMRN,Mockrehna,51.5055684,12.8194798,102
RSAE,Bad Säckingen,47.555908,7.9489671,300
HESN,Essen (Oldenburg),52.7234288,7.9454061,30
WBAM,Bannemin-Mölschow,54.0713689,13.8362361,3
HHFD,Heiligenfelde,52.879365,8.8640978,48
HSUS,Süstedt,52.8620242,8.9192572,21
RMZO,Münzesheim Ost,49.1213234,8.7265141,140
RGOM,Gochsheim,49.10953,8.7443363,145
DLIG,Lichtenberg (Erzgeb),50.8399904,13.4036334,401
WBSG,Burg Stargard (Meckl),53.4997494,13.303131,51
WCA,Cammin (Meckl),53.4404017,13.3019218,74
EDAD,Daaden,50.740417,7.9639121,296
ENDR,Niederdreisbach,50.7555212,7.922636,251
EBDO,Biersdorf-Ort(Ww),50.7481435,7.9492272,274
ESCT,Schutzbach,50.758185,7.90394,235
SBUM,Bruchmühlbach-Miesau,49.3853679,7.4444505,231
EFRM,Fröndenberg-Frömern,51.4992915,7.7359683,198
MTMA,Thann-Matzbach,48.2664298,12.0475465,471
BSAL,Schönhauser Allee,52.549243,13.4155955,59
MEIC,Eichenau,48.1794114,11.3279504,515
FBEF,Malsfeld-Beiseförth,51.0830628,9.5532043,186
TWHS,Waldhausen,48.6348831,9.9078231,670
BKL,Klitten / Klětno,51.3485929,14.5906223,132
NTB,Trabitz,49.8014163,11.8946385,435
NKNN,Kemnath-Neustadt,49.8440845,11.8619219,450
NBLA,Blaibach(Oberpf),49.1640394,12.8078913,382
UBHA,Blechhammer (Thür),50.3969391,11.2032832,440
USTA,Steinach (Thür) Süd,50.4231137,11.1663927,480
STWF,Thaleischweiler-Fröschen,49.2613118,7.5787524,242
EBOW,Bochum West,51.4815762,7.2111833,93
HHAR,Haren (Ems),52.7850347,7.3013828,24
EDGD,Hamminkeln-Dingden,51.7704951,6.6079272,23
NBUE,Büchenbach,49.2674239,11.0741861,332
SALG,Altenglan,49.5482024,7.4620608,201
EHGW,Hagen-Wehringhausen,51.3535703,7.452781,114
MSLG,Schierling,48.8318007,12.142765,384
LSK,Solpke,52.5003042,11.2941793,60
LGA,Gardelegen,52.5184153,11.4045919,46
NRL,Roßtal,49.4004557,10.8982343,367
HHIL,Hilter a.T.W.,52.135203,8.1522176,130
BFP,Frankfurt (Oder),52.3365359,14.5466945,54
BFPN,Frankfurt (Oder)-Neuberesinchen,52.3224358,14.5463202,61
HGTD,Gödenstorf-Oelstorf,53.2299046,10.129595,51
MWIT,Witzighausen,48.3174632,10.0981324,527
HOES,Oesede,52.2086898,8.0643167,87
EILH,Iserlohnerheide,51.3999377,7.6920944,201
EKAL,Kalthof (Kr Iserlohn),51.4253091,7.6720572,158
WPM,Parchim,53.430096,11.8307565,45
WDT,Dütschow,53.4020147,11.6787013,42
WNG,Neustadt-Glewe,53.377205,11.5931101,36
WGLS,Groß Laasch,53.3464181,11.5340084,47
TSBH,Stubersheim,48.5942005,9.9209044,680
TGSS,Gussenstadt,48.6399251,9.9575815,668
WBEU,Beuchow,54.3620483,13.5027358,9
WPOW,Posewald Hp,54.3680724,13.5285827,6
WSEV,Seelvitz,54.3674624,13.5610087,14
WSES,Serams,54.3777942,13.5832122,3
WJS,Ostseebad Binz Jagdschloss,54.3764668,13.6198922,58
WGFZ,Garftitz,54.3776941,13.6387321,32
HNET,Neetze,53.269632,10.625527,17
KSAL,Boppard-Bad Salzig,50.2050999,7.6357542,74
SRCH,Rammelsbach,49.5421836,7.4442587,210
WBI,Ostseebad Binz,54.4050029,13.6005789,2
EWRN,Werne a d Lippe,51.6697497,7.6228994,68
TBSB,Bad Sebastiansweiler-Belsen,48.3954699,9.0299061,479
TBIS,Bisingen,48.3129385,8.9212491,555
TJUH,Jungingen,48.3262669,9.0379138,589
TKLR,Killer,48.3163299,9.0604444,629
TBLW,Burladingen West,48.2922191,9.0992573,732
TVRS,Veringenstadt,48.1815338,9.2109347,632
TAEW,Albstadt-Ebingen West,48.2113651,8.9971121,743
TALT,Albstadt-Lautlingen,48.2136543,8.955063,686
FGRK,Gräveneck,50.4519729,8.2507779,126
FAUM,Aumenau,50.4002776,8.2491357,120
KKBR,Kuhbrücke,50.7835037,6.4866495,130
KHE,Heimbach (Eifel),50.6366292,6.4735506,212
FGA,Garbenteich,50.5403412,8.745196,219
WLK,Löcknitz,53.4560235,14.2156133,13
HAUG,Augustfehn,53.2209059,7.7592462,4
NPS,Pressath,49.7640216,11.9390311,424
DHUS,Holzhau Blockline,50.733817,13.5766706,594
MMIB,Miesbach,47.7907904,11.8307819,690
DWK,Waldkirchen (Erzgeb),50.7624711,13.0905101,323
DABM,Annaberg-Buchholz Mitte,50.5668558,12.9990559,556
SMZG,Merzig (Saar),49.4365845,6.6341891,172
SBO,Bous (Saar),49.2760766,6.7923999,184
HKNE,Knesebeck,52.6778741,10.6904523,67
HWAZ,Wahrenholz,52.6079353,10.6069321,58
WHB,Herrnburg,53.8377199,10.7597958,11
WLF,Lüdersdorf (Meckl),53.8329494,10.8149461,10
WSBG,Schönberg (Meckl),53.8535346,10.9279621,15
WGBN,Grieben (Meckl),53.8512367,11.0685896,21
TENG,Engstlatt,48.2970524,8.8751475,519
HBS,Braunschweig Hauptbahnhof,52.2521444,10.5403354,81
FSY,Stryck,51.2824095,8.6306235,609
FTW,Twiste,51.3363332,8.9638994,248
FMGH,Mengeringhausen,51.3605423,8.9898422,297
NFSB,Friedrichsthal (Bayreuth),49.9625619,11.6281797,375
EDSM,Dortmund-Somborn,51.4959817,7.3500509,91
LMBN,Marienborn,52.1978366,11.1234244,156
LWF,Wefensleben,52.1767872,11.1554968,147
NSTR,Streitberg,49.8078416,11.2169424,309
LFDE,Fohrde,52.4843013,12.4628823,31
RWRD,Wörth Mozartstraße,49.0550804,8.2518908,118
RBRT,Barbelroth,49.1040567,8.0701115,145
RKPD,Kapellen-Drusweiler,49.105589,8.03093,159
HWOB,Wolfsburg Hauptbahnhof,52.4294853,10.7871395,56
FKFT,Katzenfurt,50.6159266,8.3428783,184
FEHR,Ehringshausen,50.5949943,8.3839762,176
FSI,Sinn,50.6493886,8.3252352,198
RHST,Hammerstein,47.6903052,7.6441387,314
FLI,Lich,50.514726,8.8217496,166
RRIM,Rimbach,49.6273077,8.7573794,179
RLFB,Lörzenbach-Fahrenbach,49.6386862,8.7644613,187
RFUE,Fürth (Odenwald),49.6484006,8.7804585,195
SSO,Saarbrücken Ost,49.2305114,7.0187113,199
SSU,Saarbrücken-Schafbrücke,49.2280396,7.0492922,199
SRE,Rentrisch,49.2595276,7.0785908,211
BHND,Hennigsdorf (bei Berlin),52.6388926,13.2052516,34
NSPU,Spiegelau,48.9176376,13.359502,733
SHZH,Heinzenhausen,49.625592,7.607729,173
SWFS,Wolfstein,49.5841205,7.61114,187
SROB,Roßbach (Pfalz),49.5721354,7.6233039,193
SKRB,Kreimbach-Kaulbach,49.5510077,7.6318032,201
SUSZ,Sulzbachtal,49.5225723,7.6637452,208
SHIH,Hirschhorn (Pfalz),49.5154429,7.6812801,210
NDW,Dürrenwaid,50.3571598,11.5171331,454
WLI,Lietzow (Rügen),54.4810721,13.5118,3
WZAR,Zarrendorf,54.2406086,13.0800483,18
LAL,Aschersleben,51.7569838,11.4658067,117
TBOS,Böblingen Südbahnhof,48.6772636,9.0103697,449
TBO H,Böblingen Heusteigstraße,48.6756537,9.0257166,467
TOL,Oberlenningen,48.5543574,9.4708048,444
TUL,Unterlenningen,48.5653944,9.4604543,420
FAZ,Anzefahr,50.8455005,8.859939,198
HBRF,Bremen-Farge,53.2051515,8.5165056,9
SLB,"Limbach (b Homburg,Saar)",49.3124674,7.2800198,233
NFCH,Faulbach (Main),49.7870593,9.4376274,136
WPO,Pasewalk Ost,53.5095714,14.0097015,16
DD,Dresden-Dobritz,51.0116677,13.8086187,118
HBWA,Bremen-Walle,53.1034842,8.7865535,6
HETL,Etelsen,52.9991949,9.1238935,22
HLGW,Langwedel,52.977957,9.1947349,13
HDVD,Dörverden,52.8468216,9.2464731,16
EIAA,Ibbenbüren Aasee,52.2658575,7.7345931,70
MPFW,Pfronten-Weißbach,47.5958614,10.5573439,874
TZWE,Herrenberg Zwerchweg,48.5850708,8.8676047,412
BHEI,Heidelberger Platz,52.4802953,13.3114364,47
FNO,Nieder Ohmen,50.6451199,9.0339804,257
FWST,Watzenborn-Steinberg,50.5454773,8.7227742,200
BFRH,Friedrichshagen,52.4573763,13.6232934,37
FHP,Heppenheim (Bergstraße),49.6416143,8.6333327,102
FBO,Borsdorf (Hess),50.4296992,8.9740279,176
FWOE,Wölfersheim-Södel,50.3971608,8.8162201,154
FMLB,Melbach,50.3789285,8.8115165,151
FHHF,Häuserhof,50.4184536,8.938601,153
FWCK,Weckesheim,50.3597114,8.8419164,134
FFUR,Fürfurt,50.4300508,8.253378,131
FLOE,Löhnberg,50.5097346,8.2748452,149
FEHH,Ehringshausen,50.7088057,9.1019082,291
FANG,Angersbach,50.6309608,9.4470051,263
FSF,Bad Salzschlirf,50.6270119,9.4940761,248
LMGN,Möringen (Altmark),52.5815165,11.7481457,35
BWHH,Wuhlheide,52.4685507,13.5543359,39
BPOT,Priort,52.5164775,12.9714399,31
NRF,Collenberg,49.7710419,9.3300399,139
NHCH,Hasloch (Main),49.7894614,9.4823202,146
TRL,Reicholzheim,49.7287527,9.5273104,152
TGAM,Gamburg (Tauber),49.6981057,9.5949903,169
TNK,Niklashausen,49.7017634,9.6138732,171
LRB,Regis-Breitingen,51.0837762,12.42594,161
EDOP,Dortmund-Oespel,51.4883923,7.3835428,111
LRE,Reußen,51.5032567,12.1360754,108
LDTZ,Deutzen,51.1146316,12.4195305,149
TBMR,Bad Mergentheim,49.493715,9.7717364,205
MSC,Schechen,47.9268818,12.1266026,441
LFG,Flechtingen,52.3480109,11.2612427,91
HBRM,Bramsche,52.4109547,7.9749336,53
DWIS,Wiesa,50.6105487,13.0234636,466
LKO,Könnern,51.6741196,11.7797781,89
TLC,Laudenbach (Württ),49.4552191,9.9232517,291
SHSS,Hassel (Saar),49.2635886,7.1713911,268
SWB,Würzbach (Saar),49.2443873,7.192805,237
NPZ,Pegnitz,49.7588731,11.5476588,424
MBCN,Bachern,48.2790228,11.3817221,494
RLCH,Laudenbach (Bergstraße),49.6118447,8.6446043,99
FAZU,Alzenau (Unterfr),50.088694,9.0655653,135
FNIS,Neu Isenburg,50.0532493,8.6657209,120
LRF,Rehfeld (Falkenberg/Elster),51.5797455,13.1538665,86
SNKW,Neunkirchen (Saar)-Wellesweiler,49.3494734,7.2268741,249
TWID,Wieslensdorf,49.1497923,9.4222937,248
TWLB,Willsbach,49.1426491,9.3578161,209
TBZ,Bretzfeld,49.17295,9.4405668,227
TBIF,Bitzfeld,49.1872677,9.4533153,242
MEDL,Edling,48.0584605,12.1631178,475
LHMT,Hämerten,52.5990107,11.9716335,35
EPLT,Plettenberg,51.2319049,7.8687782,210
BMQU,Marquardt,52.4586526,12.9717877,35
RRMM,Rümmingen,47.6429587,7.6406902,280
USFD,Schmiedefeld,50.6054068,10.8172265,690
FOBA,Oberbimbach,50.5772025,9.5641692,246
RLHB,Lausheim-Blumegg,47.7925292,8.492958,503
DSNS,Schönheide Süd,50.4749208,12.5147903,612
DTAN,Tannenbergsthal (Vogtl),50.4502864,12.4711188,628
DRAK,Rautenkranz,50.463594,12.4930039,612
DSNO,Schönheide Ost,50.5044066,12.5557333,542
AKX,Klanxbüll,54.8625842,8.6755903,1
MRUS,Ruhstorf,48.4336142,13.3351386,316
TND,Neudenau,49.2884478,9.2708909,163
TAD,Adelsheim Ost,49.4032763,9.3955117,234
EBOK,Bork (Westf),51.6691357,7.4563247,71
STM,Türkismühle,49.5805009,7.1147913,364
LGAL,Gatersleben,51.8281323,11.2912508,109
MSCA,Schalchen,48.0564943,12.5708086,482
NGPA,Gumpenried-Asbach,49.0720556,13.0005019,435
NNBS,Nußberg-Schönau,49.0706312,12.9653281,424
NSDT,Gstadt,49.0644018,12.9440975,416
BSH,Wendisch-Rietz,52.2068434,14.0095661,39
NNU,Neustadt (b Coburg),50.3327227,11.1217161,343
SHEM,Hemmersdorf (Saar),49.3540667,6.6155387,192
HT,Twistringen,52.7916813,8.6444668,56
LL,Leipzig Hauptbahnhof,51.3465518,12.3830858,112
NVIC,Viechtach,49.0782901,12.8902532,415
HWBD,Willebadessen,51.6217211,9.0118937,287
AKI,Keitum,54.8888554,8.3689528,5
WDWE,Dannenwalde (Gransee),53.0809699,13.1807989,57
DZB,Zöblitz-Pobershau,50.6601013,13.2137951,502
DSTM,Strobelmühle,50.6785018,13.2149528,467
HSHL,Salzhausen (b Lüneburg),53.2254508,10.1637953,44
LWO,Wolfen (Bitterfeld),51.6611965,12.2795161,76
NK,Kronach,50.2397121,11.3201881,308
NSU,Strullendorf,49.8455444,10.9616242,249
MBHT,Bad Höhenstadt,48.4947084,13.3232004,339
NNSP,Neustift (bei Passau),48.5668854,13.3945217,327
FGX,Guxhagen,51.2042788,9.4821672,177
MAK,Anzenkirchen,48.4347545,13.0218163,362
MMSG,Massing,48.3939693,12.607856,433
FZE,Zennern,51.1121266,9.3172847,167
SBI,Bierbach,49.2619419,7.2819093,224
RFST,Frankenstein (Pfalz),49.4389055,7.9702176,253
BKDF,Klasdorf Glashütte,52.021621,13.5433631,61
BDF,Drahnsdorf,51.9157238,13.5814633,65
FRFH,Melsungen-Röhrenfurth,51.1543643,9.5484533,169
KGU,Gummersbach,51.0230819,7.5661103,251
TIMN,Bad Imnau,48.4043298,8.7701958,394
TRGD,Rangendingen,48.3810493,8.8939194,418
BKI,Küstrin-Kietz,52.5684775,14.6077687,10
NESB,Eschenbach (b Markt Erlbach),49.4821694,10.6715217,354
BHE,Herrensee,52.5298833,13.8866933,61
BRE,Rehfelde,52.5284716,13.9227127,60
BOB,Obersdorf,52.5368864,14.1671011,56
BTZ,Trebnitz (Mark),52.5382192,14.2166951,56
BARO,Alt Rosenthal,52.5503972,14.2788768,47
BGSW,Seelow-Gusow,52.5592732,14.3515309,24
BGZ,Golzow (Oderbruch),52.5625685,14.5122717,7
BGOR,Gorgast,52.5632543,14.551397,9
NKUE,Küps,50.195853,11.2682766,288
NGD,Gundelsdorf,50.2804589,11.3011587,324
NPR,Pressig-Rothenkirchen,50.348906,11.3109281,376
BMZ,Medewitz (Mark),52.0610528,12.3920699,141
BWG,Wiesenburg (Mark),52.0988047,12.4313672,153
NVOLA,Volkach-Astheim,49.8643428,10.2181011,195
MRAM,Rammingen (Bay),48.0525381,10.5894434,598
ESMU,Schalksmühle,51.2405511,7.5325914,228
EDAK,Dahlerbrück,51.2520007,7.5169973,208
MEZT,Eisenärzt,47.7961075,12.6382403,680
NFOE,Förbau,50.2075127,11.9106204,501
KBZ,Boppard-Buchholz,50.210759,7.5545466,402
KFLH,Boppard-Fleckertshöhe,50.1978428,7.5778211,445
KEHR,Ehr,50.1758229,7.5714822,424
KEMM,Emmelshausen,50.1576397,7.560506,466
HLGA,Langen (Han),53.6017212,8.5967745,7
DWIT,Witzschdorf,50.7752762,13.0884954,309
ENDO,Niederschelden Nord,50.8440916,7.9705118,227
NSTW,Steinwiesen,50.2924778,11.4622378,365
NMAU,Kronach Mauthaus,50.3235972,11.4947571,407
FPD,Worms-Pfeddersheim,49.6346432,8.2800384,120
LSTE,Sternhaus-Ramberg,51.6902241,11.1274818,421
TTRF,Trochtelfingen,48.3073793,9.2459902,694
TTRA,Trochtelfingen ALB-GOLD,48.3288991,9.2459862,707
THKP,Haidkapelle,48.3610432,9.2615631,725
NPET,Petersaurach,49.3037599,10.7452505,447
BETN,Elstal,52.5475156,13.0005443,31
EHAD,Haldern (Rheinland),51.7731356,6.4549056,18
EEMP,Empel-Rees,51.7987149,6.416286,18
NED,Ebensfeld,50.0688746,10.9547522,252
LBEI,Beilrode,51.5709996,13.0649961,84
LMOE,Möckern,52.1429579,11.9522751,61
RMBK,Brigachtal Kirchdorf,48.0143956,8.4679007,689
RKLN,Brigachtal Klengen,48.0074411,8.4657977,689
HVMP,Vormeppen,52.7148944,7.3078511,27
HSCP,Schleper,52.7020359,7.4190648,15
HHSL,Haselünne,52.6772097,7.484502,23
HHZL,Herzlake,52.6951399,7.6042959,26
AS,Sottrum,53.1013048,9.2502282,19
DCPEK,Bahnhof Küchwaldwiese,50.8475096,12.9096416,326
ENDN,Niederschelden,50.8395561,7.9658264,238
EMUD,Mudersbach,50.8274575,7.9516651,214
LLOG,Loburg,52.1157438,12.0881212,78
TERD,Erdmannhausen,48.9482846,9.2992157,234
NARR,Arrach,49.1952996,13.0028529,490
NMLT,Miltach,49.1640126,12.768235,381
RRU,Reichenau (Baden),47.6892259,9.1262902,402
LGI,Giersleben,51.7638706,11.5675809,87
SSLS,Saarlouis Hbf,49.3277464,6.7502575,182
LSIS,Schierstedt,51.7514786,11.5212638,94
FBNU,Buchenau (Lahn),50.8705367,8.6014302,236
SRAM,Miesenbach,49.4564414,7.5482753,231
DGS,Grünstädtel,50.5299562,12.8175637,443
DRAS,Raschau,50.5338059,12.8412055,475
DMAR,Markersbach,50.5345423,12.8606043,485
FZW,Zwingenberg (Bergstr),49.7258826,8.6089212,97
BSTV,Strausberg,52.5322405,13.833687,59
EERI,Ehringhausen (Kr Lippst),51.6625668,8.4496391,92
HALS,Amelinghausen-Sottorf,53.1299834,10.2159754,66
TFKHK,Kelterstraße,48.5920509,9.3644848,327
HHTL,Hörstel,52.2957198,7.5917382,48
HSTT,Schüttorf,52.3170556,7.2222624,36
NTAS,Thansüß,49.6223003,11.9378522,428
URP,Rappelsdorf,50.4997371,10.7216179,363
FSA,Steinau(Straße),50.3142729,9.442452,203
USN,Schleusingen,50.5087272,10.7435883,370
FKOZ,Kassel-Oberzwehren,51.2767205,9.4541136,165
FWO,Wiesbaden Ost,50.0413044,8.2565754,95
BGBA,Grünbergallee,52.3992998,13.5419036,51
ANSJ,Neu St Jürgen,53.2555231,8.9589714,4
HRFD,Rechterfeld,52.83853,8.3911343,50
FBNG,Burg- und Nieder Gemünden,50.690785,9.0475446,228
NMOE,Mönchröden,50.3027439,11.0583852,332
HSCA,Scharrel,53.071002,7.7075414,3
NRTL,Rödental,50.2885529,11.0321191,310
LKLM,Klitschmar,51.5082973,12.2287189,101
MSDG,Schwindegg,48.2731527,12.2498697,432
FMHM,Marnheim,49.6228713,8.0391294,205
HCAL,Calberlah,52.4275021,10.6249528,56
MKZB,Kreuzeck-/Alpspitzbahn,47.4720407,11.0628638,750
EIL,Iserlohn,51.3732913,7.6913602,246
MMTA,Mitteralm,47.7078335,12.0381827,1200
WPLM,Plate (Mecklenburg),53.5532449,11.5067764,41
MSY,Soyen,48.1082807,12.2100095,480
MTCH,Tacherting,48.0786004,12.5672664,473
MWSM,Wiesmühl (Alz),48.1060042,12.564385,458
TRO,Roigheim,49.3607984,9.3417358,201
MTG,Töging (Inn),48.2589431,12.5951793,398
FNF,Neuhof (Kreis Fulda),50.4535763,9.6203167,280
SFC,Fischbach-Camphausen,49.3047419,7.0312099,257
EDED,Dedinghausen,51.6723338,8.39818,86
LWOL,Woltersdorf,52.1529505,11.7749963,53
LBUD,Büden,52.1414543,11.837132,56
LZL,Ziepel,52.1430001,11.8709529,62
LZP,Zeppernick,52.1232721,12.0193877,71
LBOE,Bösdorf (Sachsen-Anhalt),52.42208,11.0639813,58
LOE,Oebisfelde,52.4392322,10.9839815,61
LDL,Delitzsch unt Bf,51.5248643,12.3455891,95
LPRL,Prödel,52.037729,11.9132688,66
LLBS,Lübs,52.0202822,11.9351714,71
LGK,Güterglück,51.9931591,11.9872627,75
AR,Rendsburg,54.3024043,9.6707886,8
DLI,Lichtentanne (Sachs),50.6994188,12.4201552,323
MAT,Altötting,48.2212685,12.6745936,406
MHEI,Heiligenstatt,48.2132565,12.6094978,406
MHEF,Hebertsfelden,48.4165885,12.8185384,396
MFZL,Fürstenzell,48.5131054,13.3338203,359
LMST,Mieste,52.4838921,11.2049507,59
LMI,Miltern,52.5633191,11.9367566,36
LEK,Elsnigk (Anh),51.791027,12.0598147,72
EDME,Duisburg-Meiderich Süd,51.4687598,6.780297,34
EOB,Oberhausen Hbf,51.4749062,6.8516806,35
EDEU,Deuten,51.7131368,6.9708588,46
HLTT,Lutten,52.7680684,8.3439092,43
BSB,Schneeberg (Mark),52.1645739,14.3301945,49
BOEG,Oegeln,52.172752,14.2707627,42
FATF,Altenfeld (Rhön),50.4508378,9.8494484,403
FRID,Ried,50.4591023,9.7698042,348
RLBS,Ludwigshafen(Rhein) BASF Süd,49.4939953,8.4388643,101
RLBM,Ludwigshafen(Rhein) BASF Mitte,49.5113142,8.4315815,98
EDLS,Dortmund-Lütgendortmund,51.5007219,7.3341599,110
FHH,Hettenhausen,50.4485014,9.8152899,372
FSMU,Schmalnau,50.4560064,9.7880942,362
FROH,Rönshausen,50.4784682,9.7433482,326
FWES,Welkers,50.4808569,9.7228776,309
FEIZ,Eichenzell,50.4943847,9.6943322,282
KGUI,Haan-Gruiten,51.2144579,7.0110839,158
HGOL,Goldenstedt,52.8002998,8.394492,49
FKWO,Klein Winternheim-Ober Olm,49.9396061,8.2069477,172
FMMB,Mainz-Marienborn,49.9604596,8.2228921,161
EHBO,Herne-Börnig,51.5546755,7.2680601,55
KZI,Bergheim Zieverich,50.9493125,6.6257618,66
FREH,Baunatal-Rengershausen,51.2548391,9.4686304,191
SWI,Winningen (Mosel),50.3157195,7.5233812,77
FFW,Frankfurt (Main) West,50.1194076,8.638936,103
LWUZ,Wusterwitz,52.3853285,12.3730055,32
BWS,Berlin-Wannsee,52.421199,13.1800603,41
BBKR,Berkenbrück,52.3571237,14.1662792,48
BBSN,Briesen (Mark),52.3464192,14.2815874,44
BJF,Jacobsdorf (Mark),52.3327041,14.3557228,60
FMFH,Malsfeld,51.0973506,9.534792,186
FWHM,Wahlheim (Kr Alzey),49.7191151,8.0997996,246
LWET,Lutherstadt Wittenberg Altstadt,51.8638365,12.640918,68
KSOM,Stommeln,51.0184274,6.7523675,63
MHPF,Höpfling,47.8112702,12.6511739,614
BGS,Berlin Gesundbrunnen,52.5486453,13.3902169,46
RGRN,Grünstadt Nord,49.5734371,8.1706443,172
RASH,Asselheim,49.5761043,8.1613398,166
RME,Mertesheim,49.5691773,8.1334542,165
REIS,Eisenberg (Pfalz),49.5541905,8.0700341,189
RRN,Ramsen,49.5351932,8.0223611,221
REIW,Eiswoog,49.5167112,7.9835348,270
WMIS,Mistorf,53.8805846,12.1231004,47
TBK,Bad Friedrichshall-Kochendorf,49.2187308,9.210889,159
THST,Heilbronn Sülmertor,49.1510389,9.2202208,159
HSEL,Sellingsloh,52.8169089,9.0670055,37
HGBG,Gehlbergen,52.820039,9.043699,16
HBEX,Berxen,52.8330819,8.9555962,29
ELBK,Lembeck,51.7512664,7.0253201,62
EMV,Maria Veen,51.8396033,7.0984736,60
ENK,Neunkirchen (Siegen),50.7845957,8.0061778,279
KWLP,Wuppertal-Langerfeld,51.2778261,7.2422192,180
DLH,Lehndorf (Kr Altenburg),50.9384448,12.42559,193
SKUS,Kusel,49.5382993,7.4108866,227
SLOH,Lohnweiler,49.635636,7.5996485,172
WSL,Schwerin-Lankow,53.6565584,11.3698592,51
MRS,Reichertshausen (Ilm),48.4712245,11.5101425,457
HBRA,Bramstedt (b Syke),52.8716525,8.7860804,44
MBKG,Bad Kohlgrub,47.667914,11.0578811,824
MMU,Murnau,47.6822758,11.1927787,689
SKW,Katzweiler,49.5001014,7.7009674,217
NEU,Euerdorf,50.1499206,10.0280617,207
NWM,Wolfsmünster,50.0946343,9.7346995,167
LMSW,Meuselwitz (KB),51.0394879,12.2958754,181
BRSF,Rangsdorf,52.2946855,13.4305926,46
NMIK,Michelaubrück,50.1166747,9.7679703,222
NWGR,Weickersgrüben,50.1068743,9.7823803,185
NG,Gräfendorf,50.1178125,9.7362244,170
FB,Bebra,50.9689967,9.7982159,205
DWID,Wiednitz,51.3931015,14.0392297,135
HWAD,Wachendorf,52.8749664,8.9078332,24
HHYH,Hoyerhagen,52.8143276,9.0781858,19
HTIV,Hoya-Tivoli,52.807769,9.0972771,16
HHYA,Hoya,52.8036798,9.1413035,17
HHSI,Hassel Ida,52.8066265,9.1960645,18
HHSG,Hassel (Kr Grafsch Hoya),52.8020711,9.208352,20
KGEM,Gemünd (Eifel),50.5705062,6.5044645,339
KOLE,Olef,50.5452553,6.4873065,351
NZWU,Zwieselau,49.0065685,13.2770485,596
KFRI,Frimmersdorf,51.0461805,6.5666258,56
FGLD,Göllheim-Dreisen,49.5994332,8.0165907,219
KBPS,Boppard Süd,50.2301413,7.5953015,81
KBOP,Boppard Hbf,50.2314019,7.5860131,78
MHEU,Heufeld,47.8712678,11.9671455,492
EFEU,Feudingen,50.9408835,8.3293074,395
MNM,Neu-Ulm,48.3934059,10.0055604,471
EWUF,Wulfen (Westf),51.7193176,7.0116681,45
TCW,Calw,48.714667,8.7417802,354
ELGL,Lemgo-Lüttfeld,52.0211626,8.910085,95
NSK,Straßkirchen,48.8336126,12.7207454,325
DFL,Flöha,50.854228,13.0752808,275
WNAS,Nassenheide,52.817575,13.239043,36
KJW,Vettweiß-Jakobwüllesheim,50.7663025,6.5656766,147
EDVB,Davensberg,51.8175981,7.5985283,67
EWIK,Wittbräucke,51.4201412,7.4459445,145
DHRF,Hennersdorf (Sachs),50.7918557,13.0707803,294
DUD,Ulbersdorf,50.9556033,14.2201227,237
LMT,Miesterhorst,52.4661754,11.1200859,58
DWO,Wolkenstein,50.6526611,13.0652665,392
MBR,Bruckberg,48.516027,11.997967,404
FSTL,Stresemannallee,50.0942383,8.6709594,102
MNK,Neukirchen (Inn),48.5176923,13.3704179,413
HI,Ibbenbüren,52.27689,7.7214524,80
FSMH,Simtshausen,50.9416316,8.7041264,223
FERH,Burgwald-Ernsthausen,50.9794861,8.7317282,243
FWIF,Wiesenfeld,51.0074874,8.749269,311
FEDN,Vöhl-Ederbringhausen,51.129325,8.8713878,268
FSLM,Vöhl-Schmittlotheim,51.1566017,8.8997803,269
DNSH,Dresden-Niedersedlitz,50.9998213,13.8282437,122
SWK,Wiebelskirchen,49.3712923,7.1757542,261
SAM,Auersmacher,49.1433202,7.0447759,192
LJEB,Jeber-Bergfrieden,51.9847793,12.3497237,101
BBAI,Baitz,52.1640679,12.6846708,55
BBRK,Brück (Mark),52.1868505,12.7585606,46
EHF,Herdorf,50.7783388,7.9532501,236
TREW,Reutlingen West,48.4925936,9.2020087,370
BKLH,Karlshorst,52.4804671,13.527279,39
BKPK,Köpenick,52.458577,13.5815192,37
BRB,Betriebsbahnhof Rummelsburg,52.4938868,13.4977302,37
HLAT,Lathen,52.8609825,7.3224991,10
BRO,Rückersdorf,51.5671597,13.5743183,104
MAF,Altdorf,48.5550261,12.1026684,397
HLIE,Lienen,52.150288,7.9761549,91
NBEI,Bayerisch Eisenstein,49.1214281,13.2088713,720
NREG,Regen,48.9685674,13.1363909,544
EBUR,Burbach (Kr Siegen),50.7490212,8.0777116,359
NGRS,Großarmschlag,48.8858569,13.3759165,684
WGRG,Grüneberg,52.8680473,13.2128419,45
HBBR,Bersenbrück,52.5510956,7.9426233,38
BFRI,Berlin Friedrichstraße,52.5201744,13.3869884,36
HWN,Westen,53.788811,7.8510835,3
NUS,Untersteinach(b Stadtsteinach),50.1300615,11.5287918,322
NBEH,Behringersdorf,49.4809875,11.196795,324
